venue,bibcode,backed_by_code,needs_specialized_hardware,has_source
TISSEC,BasinBK12,True,False,False
TISSEC,RoemerBSS12,True,False,False
TISSEC,MittalB12,False,unknown,False
TISSEC,YavuzNR12,False,unknown,False
TISSEC,GiladH12,True,False,True
TISSEC,BhargavanFCZ12,True,False,False
TISSEC,DannerDKL12,True,False,True
TISSEC,FeigenbaumJS12,False,unknown,False
TISSEC,KhouryT12,False,unknown,False
TISSEC,DanevCMB12,True,True,False
TISSEC,CamenischG12,True,False,True
TISSEC,BrennanAG12,False,unknown,False
TISSEC,AbadiP12,False,unknown,False
TACO,ClearyCPG13,True,False,False
TACO,YangWXW12,True,False,False
TACO,CuiXWYFF12,True,False,False
TACO,TartaraC13,True,False,True
TACO,YiapanisRBL13,True,False,False
TACO,CuiYXF13,True,False,False
TACO,LuqueMCV13,True,True,False
TACO,DuZCMM13,True,True,False
TACO,VerdoolaegeJCGTC13,True,False,True
TACO,LiMJ13,True,True,False
TACO,LeeKLYP13,True,False,False
TACO,BelviranliBG13,True,False,False
TACO,YangXKMZ12,True,False,True
TACO,AntaoS13,True,False,False
TACO,GhandourAM12,False,unknown,False
TACO,LiPZI12,True,False,False
TACO,ValeroSPLD12,True,True,False
TACO,MazloomMTAS12,True,False,False
TACO,ChenS13,True,False,False
TACO,MajumdarCBCG12,True,False,False
TACO,AbadPG13,True,True,False
TACO,DioufHCOP13,True,False,False
TACO,XekalakisIC12,True,False,False
TACO,RohouWY13,True,False,False
TACO,XiaoCCGHLRW13,True,True,False
TACO,YanJTF13,True,False,False
TACO,GeraciS12,True,True,False
TACO,NugterenCC13,True,False,True
TACO,BaghdadiCVT13,True,False,False
TACO,PuriniJ13,True,False,False
TACO,AndradeFD12,True,False,False
TACO,LutzFC13,True,True,False
TACO,ChenFHEFTW12,False,unknown,False
TACO,DolanMG13,True,False,True
TACO,GuhaHS12,True,True,False
TACO,JangLER12,True,True,False
TACO,FowersBWS13,True,True,False
TACO,CraeynestE13,False,unknown,False
TACO,AlbericioIVL13,True,False,False
TACO,PusukuriGB13,True,False,True
TACO,KhanBRHCC13,True,True,False
TACO,NegiG13,True,True,False
TACO,WimmerHVJDS13,True,False,True
TACO,AbbasiVG12,True,False,False
TACO,PopC13,True,False,True
TACO,ChrysosDPD13,True,False,False
TACO,AhnJKLS12,True,True,False
