,publication_name,publication_type,research_title,marked_reproducible,article_link,Included,excluding_reason,artifacts_available,source_code_availability,where_is_source_code_link,source_code,dependencies,reproducible,time_spend_reproduce/minutes,instruction_type,notes
1,ASPLOS’24,conference,Amanda: Unified Instrumentation Framework for Deep Neural Networks,no,https://dl.acm.org/doi/10.1145/3617232.3624864,yes,,no,available,search_online,https://github.com/uchuhimo/amanda,,,,simple,
2,ASPLOS’24,conference,Automatic Generation of Vectorizing Compilers for Customizable Digital Signal Processors,no,https://dl.acm.org/doi/10.1145/3617232.3624873,yes,,yes,available,in_article,https://github.com/sgpthomas/comp-gen/blob/main/artifact-evaluation.org,Linux or Mac OS operating system,,,very_detailed,"Some links to the artifacts are no longer available, but the code can be found through other links. "
3,ASPLOS’24,conference,BypassD: Enabling fast userspace access to shared SSDs,yes,https://dl.acm.org/doi/10.1145/3617232.3624854,no,requires_Intel_Xeon,yes,available,in_article,https://github.com/multifacet/Bypassd,Intel Xeon CPU,,,detailed,
4,ASPLOS’24,conference,CC-NIC: a Cache-Coherent Interface to the NIC,no,https://dl.acm.org/doi/10.1145/3617232.3624868,yes,,no,not_available,,,,,,,I can't find the source code everywhere.
5,ASPLOS’24,conference,Cocco: Hardware-Mapping Co-Exploration towards Memory Capacity-Communication Optimization,no,https://dl.acm.org/doi/10.1145/3617232.3624865,yes,,no,not_available,,,,,,,I can't find the source code everywhere.
6,ASPLOS’24,conference,CodeCrunch: Improving Serverless Performance via Function Compression and Cost-Aware Warmup Location Optimization,yes,https://dl.acm.org/doi/10.1145/3617232.3624866,no,requires_AWS,yes,available,in_article,https://zenodo.org/records/10055340,"Python 3.10, pip3, awscli, boto3, lz4, and Docker, AWS EC2 servers",,,very_detailed,
7,ASPLOS’24,conference,CrossPrefetch: Accelerating I/O Prefetching for Modern Storage,no,https://dl.acm.org/doi/10.1145/3617232.3624872,yes,,yes,available,in_article,https://github.com/RutgersCSSystems/crossprefetch-asplos24-artifacts,"32 cores of CPU, 64GB of RAM",,,very_detailed,
8,ASPLOS’24,conference,"EagleEye: Nanosatellite constellation design for high-coverage, high-resolution sensing",no,https://dl.acm.org/doi/10.1145/3617232.3624851,yes,,no,not_available,,,,,,,I can't find the source code everywhere.
9,ASPLOS’24,conference,Everywhere All at Once: Co-Location Attacks on Public Cloud FaaS,no,https://dl.acm.org/doi/10.1145/3617232.3624867,yes,,no,available,search_online,https://github.com/zzrcxb/EAAO,"python, Google Cloud CLI",,,detailed,
10,ASPLOS’24,conference,Expanding Datacenter Capacity with DVFS Boosting: A safe and scalable deployment experience,no,https://dl.acm.org/doi/10.1145/3617232.3624853,yes,,no,not_available,,,,,,,I can't find the source code everywhere.
11,ASPLOS’24,conference,Exploiting Human Color Discrimination for Memory- and Energy-Efficient Image Encoding in Virtual Reality,no,https://dl.acm.org/doi/10.1145/3617232.3624860,no,requires_GPU,no,not_available,,,GPU,,,,
12,ASPLOS’24,conference,"Formal Mechanised Semantics of CHERI C: Capabilities, Undefined Behaviour, and Provenance",no,https://dl.acm.org/doi/10.1145/3617232.3624859,yes,,no,not_available,,,,,,,I can't find the source code everywhere.
13,ASPLOS’24,conference,GPU-based Private Information Retrieval for On-Device Machine Learning Inference,no,https://dl.acm.org/doi/10.1145/3617232.3624855,no,requires_GPU,yes,available,in_article,https://github.com/facebookresearch/GPU-DPF/,GPU,,,very_detailed,
14,ASPLOS’24,conference,HIDA: A Hierarchical Dataflow Compiler for High-Level Synthesis,no,https://dl.acm.org/doi/10.1145/3617232.3624850,yes,,no,available,in_article,https://github.com/UIUC-ChenLab/ScaleHLS-HIDA,"python3, cmake, ninja, clang and lld",,,simple,
15,ASPLOS’24,conference,"Lightweight, Modular Verification for WebAssembly-to-Native Instruction Selection",yes,https://dl.acm.org/doi/10.1145/3617232.3624862,yes,,yes,available,in_article,https://github.com/avanhatt/asplos24-ae-crocus,docker,Yes,,very_detailed,
16,ASPLOS’24,conference,Loupe: Driving the Development of OS Compatibility Layers,yes,https://dl.acm.org/doi/10.1145/3617232.3624861,yes,,yes,available,in_article,https://github.com/unikraft/loupe,"x86 machine, docker, python3, python-git",,,very_detailed,
17,ASPLOS’24,conference,ngAP: Non-blocking Large-scale Automata Processing on GPUs,yes,https://dl.acm.org/doi/10.1145/3617232.3624848,no,requires_GPU,yes,available,in_article,https://github.com/getianao/ngAP,"x86_64 CPU with host memory larger than 32 GB, CUDA-enabled GPU with device memory larger than 24 GB",,,very_detailed,
18,ASPLOS’24,conference,Optimizing Deep Learning Inference via Global Analysis and Tensor Expressions,yes,https://dl.acm.org/doi/10.1145/3617232.3624858,no,requires_GPU,yes,available,in_article,https://github.com/summerspringwei/souffle-ae,NVIDIA A100 Tensor Core GPU,,,very_detailed,
19,ASPLOS’24,conference,Performance-aware Scale Analysis with Reserve for Homomorphic Encryption,no,https://dl.acm.org/doi/10.1145/3617232.3624870,yes,,no,not_available,,,,,,,I can’t find any source code and authors’ websites.
20,ASPLOS’24,conference,Proteus: A High-Throughput Inference-Serving System with Accuracy Scaling,no,https://dl.acm.org/doi/10.1145/3617232.3624849,yes,,yes,available,in_article,https://github.com/UMass-LIDS/Proteus/tree/main,"docker, python",,,detailed,
21,ASPLOS’24,conference,RainbowCake: Mitigating Cold-starts in Serverless with Layer-wise Container Caching and Sharing,no,https://dl.acm.org/doi/10.1145/3617232.3624871,yes,,yes,available,in_article,https://github.com/IntelliSys-Lab/RainbowCake-ASPLOS24,python3,,,,
22,ASPLOS’24,conference,Scaling Up Memory Disaggregated Applications with SMART,yes,https://dl.acm.org/doi/10.1145/3617232.3624857,no,too_many_machines,yes,available,in_article,https://github.com/madsys-dev/smart,,,,very_detailed,This experiment requires 8 machines.
23,ASPLOS’24,conference,SoCFlow: Efficient and Scalable DNN Training on SoC-Clustered Edge Servers,no,https://dl.acm.org/doi/10.1145/3617232.3624847,no,requires_GPU,yes,available,in_article,https://zenodo.org/records/10066721,,,,very_simple,
24,ASPLOS’24,conference,SoD2: Statically Optimizing Dynamic Deep Neural Network Execution,no,https://dl.acm.org/doi/10.1145/3617232.3624869,no,requires_GPU,no,not_available,,,GPU,,,,no source code found
25,ASPLOS’24,conference,TrackFM: Far-out Compiler Support for a Far Memory World,yes,https://dl.acm.org/doi/10.1145/3617232.3624856,no,requires_CloudLab,yes,available,in_article,https://github.com/compiler-disagg/TrackFM,,,,very_detailed,
26,ASPLOS’24,conference,Training Job Placement in Clusters with Statistical In-Network Aggregation,no,https://dl.acm.org/doi/10.1145/3617232.3624863,no,requires_GPU,no,not_available,,,GPU,,,,
27,ASPLOS’24,conference,UBFuzz: Finding Bugs in Sanitizer Implementations,yes,https://dl.acm.org/doi/10.1145/3617232.3624874,undecided,,yes,available,in_article,https://zenodo.org/records/8406414,X86 machine,,,,The size of the artifact is big. I am not sure if my computer has enough storage.
